name,slug,description,latitude,longitude,averageCost,difficulty,bestSeason,duration,famousLocalItems,activities,altitude,climate,safetyLevel,permitsRequired,crowdLevel,internetAvailability
Everest Base Camp,everest-base-camp,"Trek to the base of the world's highest peak.",28.0026,86.8528,1500.00,Hard,"March-May, September-November",14 days,"[""Yak cheese"", ""Thangka paintings"", ""Prayer flags""]","[""Trekking"", ""Photography"", ""Camping""]",5364,Alpine,Moderate,true,High,Limited
Annapurna Circuit,annapurna-circuit,"A classic trek encircling the Annapurna massif.",28.5967,84.1269,1200.00,Moderate,"October-November, March-April",18 days,"[""Handmade wool shawls"", ""Tibetan salt"", ""Local honey""]","[""Trekking"", ""Photography"", ""Cultural tours""]",5416,Alpine,Low,true,Moderate,Limited
Pokhara,pokhara,"A stunning lakeside city with views of the Annapurna range.",28.2096,83.9856,600.00,Easy,"October-November, February-April",5 days,"[""Handmade jewelry"", ""Thangka art"", ""Lokta paper products""]","[""Paragliding"", ""Boating"", ""Zip-lining"", ""Hiking""]",822,Subtropical,Low,false,High,Good
Chitwan National Park,chitwan-national-park,"A UNESCO World Heritage Site famous for wildlife safaris.",27.5291,84.4354,800.00,Easy,"October-March",4 days,"[""Handmade elephant products"", ""Tharu jewelry"", ""Organic honey""]","[""Jungle Safari"", ""Elephant Ride"", ""Bird Watching"", ""Canoe Ride""]",150,Tropical,Low,true,High,Good
Lumbini,lumbini,"The birthplace of Lord Buddha and a sacred pilgrimage site.",27.4833,83.2833,400.00,Easy,"October-March",3 days,"[""Buddha statues"", ""Prayer beads"", ""Incense sticks""]","[""Pilgrimage"", ""Meditation"", ""Cultural tours"", ""Cycling""]",150,Tropical,Low,false,Moderate,Moderate
Langtang Valley,langtang-valley,"A beautiful valley known as the valley of glaciers.",28.2138,85.5147,900.00,Moderate,"March-May, October-November",10 days,"[""Yak cheese"", ""Butter tea"", ""Handwoven carpets""]","[""Trekking"", ""Glacier hiking"", ""Wildlife watching""]",3430,Alpine,Low,true,Low,Limited
Mustang,mustang,"An ancient kingdom with dramatic landscapes and Tibetan culture.",28.9965,83.8497,2000.00,Moderate,"May-October",12 days,"[""Thangka paintings"", ""Tibetan salt"", ""Apple products""]","[""Trekking"", ""Cultural tours"", ""Photography"", ""Horse riding""]",3840,Arid,Low,true,Low,Very Limited
Rara Lake,rara-lake,"Nepal's largest lake nestled in a remote national park.",29.5269,82.0856,1100.00,Hard,"April-June, September-November",10 days,"[""Handmade wooden crafts"", ""Local herbs"", ""Yak products""]","[""Trekking"", ""Boating"", ""Bird watching"", ""Camping""]",2990,Temperate,Low,true,Low,No Internet
Patan,patan,"An ancient city famous for its Newari architecture and crafts.",27.6644,85.3244,350.00,Easy,"October-April",2 days,"[""Bronze statues"", ""Patan dhaka fabric"", ""Wooden crafts""]","[""Cultural tours"", ""Photography"", ""Museum visits"", ""Craft workshops""]",1400,Subtropical,Low,false,Moderate,Good
Bhaktapur,bhaktapur,"A medieval city known for its art pottery and festivals.",27.6710,85.4298,350.00,Easy,"October-April",2 days,"[""Juju dhau yogurt"", ""Pottery"", ""Bhaktapur masks""]","[""Cultural tours"", ""Photography"", ""Pottery classes"", ""Festival tours""]",1401,Subtropical,Low,false,Moderate,Good
Nagarkot,nagarkot,"A hilltop town offering panoramic Himalayan sunrise views.",27.7167,85.5167,300.00,Easy,"October-March",2 days,"[""Handmade scarves"", ""Local honey"", ""Thangka art""]","[""Sunrise viewing"", ""Hiking"", ""Photography"", ""Mountain biking""]",2175,Temperate,Low,false,Moderate,Moderate
Manaslu Circuit,manaslu-circuit,"A remote and challenging trek around Mt. Manaslu.",28.5497,84.5597,1400.00,Hard,"March-May, September-November",16 days,"[""Handwoven carpets"", ""Tibetan herbs"", ""Local cheese""]","[""Trekking"", ""Camping"", ""Cultural tours"", ""Photography""]",5106,Alpine,Moderate,true,Low,Very Limited
Gokyo Lakes,gokyo-lakes,"Stunning turquoise lakes in the Everest region.",27.9620,86.6810,1300.00,Hard,"March-May, October-November",14 days,"[""Prayer flags"", ""Yak products"", ""Tibetan jewelry""]","[""Trekking"", ""Photography"", ""Glacier hiking""]",4700,Alpine,Low,true,Low,Very Limited
Bardiya National Park,bardiya-national-park,"A remote wildlife paradise with tigers and elephants.",28.3833,81.5000,700.00,Easy,"October-April",4 days,"[""Tharu handicrafts"", ""Organic honey"", ""Handwoven baskets""]","[""Jungle Safari"", ""Tiger tracking"", ""Bird watching"", ""Cultural tours""]",168,Tropical,Low,true,Low,Limited
Dolpo,dolpo,"A hidden Himalayan region with dramatic landscapes and rare wildlife.",29.1500,82.9667,2500.00,Hard,"June-September",18 days,"[""Yarchagumba herbs"", ""Tibetan salt"", ""Handwoven rugs""]","[""Trekking"", ""Wildlife watching"", ""Cultural tours"", ""Photography""]",3660,Arid,Moderate,true,Very Low,No Internet
Kanchenjunga Base Camp,kanchenjunga-base-camp,"A remote trek to the base of the world's third highest peak.",27.7025,88.1475,1800.00,Hard,"March-May, October-November",20 days,"[""Handmade wooden crafts"", ""Local honey"", ""Yak cheese""]","[""Trekking"", ""Camping"", ""Photography"", ""Wildlife watching""]",5143,Alpine,Moderate,true,Very Low,No Internet
Tilicho Lake,tilicho-lake,"One of the highest lakes in the world at 4919m altitude.",28.6833,83.8500,1100.00,Hard,"April-May, October-November",12 days,"[""Handwoven shawls"", ""Local herbs"", ""Tibetan jewelry""]","[""Trekking"", ""Photography"", ""Camping""]",4919,Alpine,Moderate,true,Low,Very Limited
Swayambhunath,swayambhunath,"The ancient monkey temple sitting atop a hill in Kathmandu.",27.7149,85.2904,200.00,Easy,"October-April",1 days,"[""Prayer wheels"", ""Buddha statues"", ""Thangka paintings""]","[""Pilgrimage"", ""Photography"", ""Cultural tours"", ""Meditation""]",1336,Subtropical,Low,false,High,Good
Pashupatinath Temple,pashupatinath-temple,"A sacred Hindu temple complex on the banks of Bagmati river.",27.7105,85.3487,150.00,Easy,"October-April",1 days,"[""Rudraksha beads"", ""Religious items"", ""Incense sticks""]","[""Pilgrimage"", ""Cultural tours"", ""Photography"", ""Meditation""]",1261,Subtropical,Low,false,High,Good
Phewa Lake,phewa-lake,"A serene lake in Pokhara reflecting the Annapurna range.",28.2000,83.9500,400.00,Easy,"October-April",3 days,"[""Handmade jewelry"", ""Lokta paper products"", ""Felt crafts""]","[""Boating"", ""Kayaking"", ""Photography"", ""Meditation""]",742,Subtropical,Low,false,High,Good